#{"t_start": 1741831156.5895624, "env_id": "None"}
r,l,t
-303.719757,513,3743.755913
-14.809526,513,3748.83385
-897.858313,513,3761.143464
-480.4968,513,3768.144496
-770.699515,513,3775.124175
-955.628894,513,3782.097082
-1088.507375,513,3789.034507
-1249.692432,513,3795.922488
-840.760454,513,3802.724512
-402.525373,513,3809.540274
-1089.718092,513,3816.335035
-1293.165192,513,3823.093216
-577.335883,513,3829.783957
-836.198182,513,3836.470388
-1646.580354,513,3843.025959
-666.187593,513,3849.584849
261.294624,513,3861.023851
218.440568,513,3867.524283
-328.49661,513,3873.994761
-844.664545,513,3880.446728
-325.060191,513,3886.869531
-1322.471507,513,3893.270335
-798.153647,513,3899.638965
-416.284541,513,3906.006731
-1059.738939,513,3912.372848
-1103.641305,513,3918.737474
-1218.779991,513,3925.091669
-1534.942365,513,3931.443948
-1245.879462,513,3937.804412
-1031.50314,513,3944.171389
376.909307,513,3955.227211
-280.660041,513,3961.570607
257.216452,513,3967.926933
815.49362,513,3974.284304
533.60414,513,3980.658125
313.947721,513,3987.047992
216.807089,513,3993.435635
949.04763,513,4000.397843
79.641369,513,4006.227638
-620.432798,513,4012.610847
-462.369471,513,4018.995314
-66.934182,513,4025.890855
-336.390199,513,4031.801575
214.635817,513,4038.234404
62.959124,513,4049.685472
-317.689881,513,4056.276145
-728.373182,513,4062.880141
-618.58043,513,4069.476235
259.616623,513,4076.069757
-841.72389,513,4084.447399
-1000.532824,513,4089.289478
-1114.020008,513,4095.755417
-650.564918,513,4102.19033
-1101.41571,513,4110.376712
-658.278484,513,4114.979148
-1434.106634,513,4121.367668
21748.419796,513,4128.922443
3993.179576,513,4138.076321
1770.593951,513,4150.411856
1945.464124,513,4158.188334
1153.668719,513,4165.898803
2061.770003,513,4173.663102
-214.69987,513,4181.528399
1476.911736,513,4189.375833
-480.575236,513,4197.002386
-466.062336,513,4204.599535
280.785856,513,4212.214174
1890.730722,513,4219.972469
-1426.088053,513,4227.907272
-2005.107851,513,4235.725005
-2148.035989,513,4243.376095
-2003.833768,513,4250.902332
-2664.983336,513,4263.57907
-2264.579846,513,4270.649985
-2924.008572,513,4277.614926
-2836.440238,513,4284.459382
-1487.519963,513,4291.213641
-1695.430384,513,4297.885094
-2790.14011,513,4304.418349
-2601.125639,513,4310.828733
-2446.620585,513,4317.266736
-2329.430752,513,4323.731802
-1860.105381,513,4330.213301
-1613.264411,513,4336.707633
-1597.570153,513,4343.228985
-1621.869601,513,4349.763873
-1644.301512,513,4361.165531
-1500.774275,513,4367.689897
-3097.956738,513,4374.21623
-2663.566038,513,4380.617117
-1720.966291,513,4386.850143
-1933.533594,513,4393.051974
-2086.09921,513,4399.231861
-1446.842797,513,4405.3716
-1806.194346,513,4411.867189
-1636.497712,513,4417.5978
-1362.924755,513,4423.694408
-1080.575085,513,4429.784974
-927.81125,513,4436.127209
-1483.954912,513,4441.892044
50504.021651,513,4452.949069
949.248159,513,4460.63819
2654.386046,513,4468.510476
253.739625,513,4476.451868
-761.029693,513,4484.369075
-970.277776,513,4492.30324
-957.187538,513,4501.297016
-938.67173,513,4508.182021
-928.342764,513,4516.051612
-922.525028,513,4523.86917
-918.611072,513,4532.702548
-843.620858,513,4539.33688
-751.985892,513,4547.01885
-725.115586,513,4554.717475
-724.185924,513,4568.204094
-726.971808,513,4575.951144
-728.22493,513,4583.699399
-728.671684,513,4591.432365
-967.794091,513,4599.147858
-1474.12006,513,4606.827293
-2010.613477,513,4614.334295
-2225.482326,513,4621.650553
-2316.748811,513,4628.878129
-2343.160981,513,4635.990588
-2344.996414,513,4643.00806
-2332.540131,513,4649.934102
-2565.188369,513,4656.711483
-3048.293612,513,4663.290939
-3322.401488,513,4674.676964
-3382.296468,513,4681.210941
-3407.26913,513,4687.743299
-3413.840714,513,4694.26762
-3431.131082,513,4700.804249
-3318.090196,513,4707.206841
-3026.054494,513,4713.430908
-2879.38726,513,4719.592177
-2792.427706,513,4725.672125
-2745.917486,513,4731.698206
-2726.371466,513,4737.701684
-2709.984134,513,4743.673333
